INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2015,6,21,35.2,25.6,1.4
42933,2015,6,22,32.8,23.2,18.0
42933,2015,6,23,29.1,24.5,2.2
42933,2015,6,24,33.6,25.5,0.3
42933,2015,6,25,35.5,26.4,0.1
42933,2015,6,26,35.0,25.1,0.2
42933,2015,6,27,35.6,25.5,0.0
42933,2015,6,28,35.1,25.5,0.0
42933,2015,6,29,36.1,26.2,0.0
42933,2015,6,30,37.0,26.1,0.0
42933,2015,7,1,37.1,26.0,0.0
42933,2015,7,2,36.1,26.1,0.0
42933,2015,7,3,36.0,26.1,0.0
42933,2015,7,4,36.1,26.4,0.0
42933,2015,7,5,36.8,26.0,0.0
42933,2015,7,6,36.0,26.0,0.0
42933,2015,7,7,35.2,25.7,0.0
42933,2015,7,8,35.9,26.6,0.0
42933,2015,7,9,35.1,26.8,0.0
42933,2015,7,10,35.6,27.0,0.0
42933,2015,7,11,38.9,27.0,0.0
42933,2015,7,12,34.6,26.9,0.0
42933,2015,7,13,36.3,27.1,0.0
42933,2015,7,14,37.9,27.9,0.0
42933,2015,7,15,38.0,27.1,0.0
42933,2015,7,16,36.6,27.0,0.0
42933,2015,7,17,38.0,27.4,0.0
42933,2015,7,18,35.7,26.7,0.0
42933,2015,7,19,34.5,25.6,1.4
42933,2015,7,20,30.7,25.2,0.3
42933,2015,7,21,27.6,23.5,19.7
42933,2015,7,22,30.4,25.0,1.0
42933,2015,7,23,34.0,23.6,55.4
42933,2015,7,24,31.8,24.5,4.7
42933,2015,7,25,32.1,24.5,21.4
42933,2015,7,26,29.6,23.5,4.1
42933,2015,7,27,31.5,23.2,1.4
42933,2015,7,28,30.1,22.0,3.5
42933,2015,7,29,32.9,22.6,1.5
42933,2015,7,30,33.1,24.2,0.0
42933,2015,7,31,33.5,23.5,0.0
42933,2015,8,1,33.9,24.0,0.0
42933,2015,8,2,34.1,24.2,0.0
42933,2015,8,3,32.6,24.5,0.0
42933,2015,8,4,29.5,22.1,31.0
42933,2015,8,5,23.5,21.2,187.7
42933,2015,8,6,24.4,20.7,12.5
42933,2015,8,7,28.1,23.3,3.2
42933,2015,8,8,30.5,24.0,0.0
42933,2015,8,9,31.1,24.0,12.0
42933,2015,8,10,29.0,24.2,1.3
42933,2015,8,11,32.0,25.3,0.0
42933,2015,8,12,30.9,24.1,8.7
42933,2015,8,13,30.8,23.4,24.8
42933,2015,8,14,25.7,23.6,9.0
42933,2015,8,15,29.6,24.5,0.0
42933,2015,8,16,32.5,24.0,0.0
42933,2015,8,17,32.8,24.0,0.0
42933,2015,8,18,33.5,24.9,0.0
42933,2015,8,19,34.0,24.9,0.0
42933,2015,8,20,34.4,24.5,0.0
42933,2015,8,21,34.5,23.9,0.0
42933,2015,8,22,33.7,23.5,0.0
42933,2015,8,23,32.7,23.1,0.0
42933,2015,8,24,33.2,23.2,0.0
42933,2015,8,25,34.1,23.5,0.0
42933,2015,8,26,34.2,25.0,0.0
42933,2015,8,27,34.4,24.4,0.0
42933,2015,8,28,32.7,24.6,0.0
42933,2015,8,29,31.6,24.6,0.0
42933,2015,8,30,31.3,24.2,16.9
42933,2015,8,31,29.1,23.9,0.0
42933,2015,9,1,32.6,23.5,0.0
42933,2015,9,2,33.6,23.6,0.0
42933,2015,9,3,33.8,23.5,0.0
42933,2015,9,4,35.6,23.2,2.7
42933,2015,9,5,31.1,23.3,8.1
42933,2015,9,6,34.8,24.2,0.0
42933,2015,9,7,35.1,24.5,0.0
42933,2015,9,8,34.1,22.5,30.1
42933,2015,9,9,33.0,23.2,0.0
42933,2015,9,10,33.9,23.8,0.0
42933,2015,9,11,34.6,23.3,0.0
42933,2015,9,12,36.2,24.1,0.0
42933,2015,9,13,35.8,24.0,1.0
42933,2015,9,14,35.1,24.0,0.0
42933,2015,9,15,33.8,23.5,0.0
42933,2015,9,16,35.0,22.2,37.9
42933,2015,9,17,32.7,23.0,0.0
42933,2015,9,18,27.5,22.9,56.3
42933,2015,9,19,29.2,23.3,1.0
42933,2015,9,20,32.0,22.9,0.0
42933,2015,9,21,33.4,22.5,0.0
42933,2015,9,22,33.9,23.3,0.0
42933,2015,9,23,33.1,24.0,0.0
42933,2015,9,24,32.7,23.5,0.0
42933,2015,9,25,33.6,23.0,0.0
42933,2015,9,26,32.1,21.2,0.0
42933,2015,9,27,32.8,21.4,0.0
42933,2015,9,28,34.5,23.0,0.0
42933,2015,9,29,35.2,22.2,5.8
42933,2015,9,30,35.1,22.8,0.0
42933,2015,10,1,35.4,23.0,0.0
42933,2015,10,2,35.5,24.5,0.0
42933,2015,10,3,36.0,23.5,5.2
42933,2015,10,4,36.0,24.7,0.0
